x;y;z;yaw;pitch;roll;Up_x;Up_y;Up_z;k1;k2;k3;p1;p2;FOV (deg);Screenshot
2.31822;1.04629;4.20991;-0.52468;-0.178693;-0.832334;0;1;0;0.15;0;0;0;0;60;screenshot_1716477767.png
0.5503;1.07254;4.84039;-0.158814;-0.17687;-0.971336;0;1;0;0.15;0;0;0;0;60;screenshot_1716477780.png
